,home_won
86171,1
175279,1
155338,1
177619,1
269476,0
181012,0
307169,0
306173,1
398836,0
300326,1
55870,0
89443,1
14658,1
98286,1
100615,1
210251,1
4494,0
150874,1
203523,1
231282,0
182510,1
416766,0
173053,0
39116,1
322719,0
169141,1
80093,1
262189,1
375705,1
402014,0
110670,1
122295,0
24218,1
266366,1
124920,0
145106,1
209946,0
147580,1
51256,0
389587,1
82966,1
62515,0
391117,0
320496,1
385155,1
351793,1
126079,1
68752,0
358420,1
217976,0
43976,0
381452,1
304750,1
256908,1
19461,1
85742,0
208394,0
117993,1
409328,1
84716,0
189827,1
136337,1
409873,1
322123,1
270595,1
203186,0
303779,1
7493,1
199480,1
11787,1
244158,1
195303,1
215404,1
199923,0
249761,1
3336,0
110657,1
360181,1
328652,0
301999,0
265953,0
33416,1
277011,1
100122,1
263436,0
110410,1
239208,1
322658,0
320072,0
410614,0
80836,0
361789,1
228522,0
295738,0
39564,1
38863,0
263838,0
365966,1
96709,0
390782,0
410230,0
1973,1
300381,1
111642,1
298805,1
291198,0
40815,0
237993,1
125986,1
348434,0
325352,0
168362,0
185645,0
369289,0
191944,1
4323,1
22,1
350346,1
167250,1
394058,0
101039,0
260396,1
163722,0
148603,0
105173,0
316881,1
164518,1
227059,1
90187,1
374820,0
284261,1
244059,0
142036,1
226193,1
181102,1
49692,1
212453,1
287778,1
374927,0
99709,0
128651,0
6876,0
329103,1
142987,0
308340,0
46153,0
289250,1
243286,0
231747,1
369583,1
281969,1
117720,1
165230,0
368181,1
74122,1
395525,1
194711,0
106656,1
368552,0
23986,1
72180,0
311677,1
321638,1
207197,0
51925,0
130754,1
264407,0
261799,0
191532,1
259722,1
374690,0
190619,1
12717,1
341889,1
383106,1
13779,0
225791,1
143311,0
204654,0
123925,1
256925,1
389766,1
85484,0
183586,0
118603,1
202656,1
316425,1
99438,0
320680,0
182014,0
110063,1
53216,1
286977,1
62356,1
278554,1
52656,0
400300,1
236733,1
420565,0
197850,1
108345,0
166914,1
411749,0
2961,0
15685,1
145450,1
143607,0
191587,1
246020,1
171060,0
373559,0
265893,0
102010,1
43471,1
16221,0
26586,0
332129,0
91967,1
30556,1
330179,1
335150,1
87098,1
158076,1
214737,0
96125,0
337859,1
7319,0
410679,1
121313,1
86776,1
354883,1
269370,1
323697,1
109132,1
281351,1
386777,0
65607,0
364768,1
352109,0
74191,0
32975,0
354372,1
139415,1
95708,1
5413,1
14070,0
181153,1
52524,1
37482,0
380247,1
306586,0
280765,0
242759,0
140197,0
218164,1
200952,1
346484,0
374096,0
359595,1
53293,1
232619,1
247644,0
240594,1
351437,1
198749,0
340406,1
128075,1
70538,0
62337,1
37592,1
251758,1
410775,1
308657,0
54328,1
127275,1
364712,1
153152,0
38681,1
197457,1
55131,1
308052,0
149102,0
236666,1
40839,0
330531,1
205901,1
300956,0
224556,1
186873,0
55187,0
318626,0
18448,0
325732,0
208781,0
366864,0
408743,0
284777,0
180774,1
362616,0
324778,1
313090,1
128011,1
235456,0
92103,0
163927,1
199655,1
148654,0
103981,1
409808,1
321919,1
419908,0
127582,1
100818,0
13324,0
380903,0
171018,0
52879,0
264794,0
137181,0
57323,1
155552,1
389703,1
46099,1
151622,0
112651,1
348134,1
138794,0
173965,1
42363,0
166586,1
416092,1
226775,0
59002,0
130156,0
6533,1
316610,1
410798,1
367677,0
277070,0
140882,1
235540,0
104704,0
416819,0
76208,0
82144,1
123577,1
163299,0
419327,0
676,0
116257,1
411728,0
228246,0
128791,1
150158,0
403172,1
212775,0
57142,1
254868,1
283575,0
313180,1
109033,0
323688,1
46787,0
35999,0
389881,0
248053,1
313691,1
407464,1
90177,1
390883,0
171643,1
212509,1
258705,0
392017,0
275347,0
333953,1
92278,1
117312,1
333711,1
35415,1
60128,1
90946,1
409745,1
176613,1
79293,1
79890,0
341539,1
190016,1
20684,1
417298,1
1923,1
77341,1
247066,1
378082,0
356496,1
103949,1
320684,0
282593,0
389792,1
228685,0
392857,0
118429,1
155230,0
75819,1
150715,1
248879,1
327432,0
275656,1
131714,0
54467,1
373020,0
272684,0
76786,1
147112,0
194115,1
417399,1
301531,0
399246,0
176652,1
188672,0
139801,0
294669,0
82491,0
221522,1
387090,0
299101,0
169565,0
243816,1
252390,0
93727,0
120377,1
293057,0
75513,1
315730,0
132004,0
230721,0
295732,0
187929,0
271972,0
259273,0
406420,1
372524,1
177737,0
232898,1
346118,1
181239,0
196805,0
195712,0
28555,1
24415,1
80896,0
143135,1
370947,0
124050,1
192620,1
3913,1
166472,1
364106,1
163190,1
342351,1
176509,1
134022,1
379420,1
237701,0
267752,0
211854,1
414543,1
131749,0
307883,1
131574,0
68488,0
88381,1
416850,0
234933,1
229577,1
332923,1
18082,1
135137,1
277869,0
231168,0
371012,0
88097,1
7651,1
191192,0
388426,0
419977,1
174180,0
284660,0
97917,0
394279,1
74511,1
155945,0
418279,0
66039,0
85497,0
70588,0
307624,0
356935,1
114358,1
330129,0
410703,1
95822,0
345645,1
413652,1
347066,0
166480,1
401316,1
340988,0
86815,0
242727,0
22637,1
205850,1
176927,1
306721,0
320052,1
137247,0
122838,1
113890,1
76214,0
40134,1
144315,1
228653,0
328904,1
65461,1
56189,1
380397,0
25205,1
244187,1
272685,0
201147,1
395557,1
365309,0
28769,1
270746,1
42331,0
345442,0
